Name,Developer(s),Publisher(s),Epic Store Link,Steam Store Link
Afterparty,Night School Studio,Night School Studio,https://www.epicgames.com/store/en-US/product/afterparty/home,https://store.steampowered.com/app/762220/Afterparty/
Anno 1800,Blue Byte,Ubisoft,https://www.epicgames.com/store/en-US/product/anno-1800/home,https://store.steampowered.com/app/916440/Anno_1800/
Ashen,A44,Annapurna Interactive,https://epicgames.com/store/en-US/product/ashen/home,https://store.steampowered.com/app/649950/Ashen/
Beyond: Two Souls,Quantic Dream,Sony Computer Entertainment,https://www.epicgames.com/store/en-US/product/beyond-two-souls/home,N/A
Borderlands 3,Gearbox Software,2K,https://www.epicgames.com/store/en-US/product/borderlands-3/home,N/A
Close to the Sun,Storm in a Teacup,Wired Productions,https://www.epicgames.com/store/en-US/product/close-to-the-sun/home,N/A
The Cycle,YAGER,YAGER,https://www.epicgames.com/store/zh-CN/product/thecycle/home,https://store.steampowered.com/app/868270/The_Cycle/
Dangerous Driving,Three Fields Entertainment,Three Fields Entertainment,https://www.epicgames.com/store/en-US/product/dangerous-driving/home,N/A
Detroit: Become Human,Quantic Dream,Sony Computer Entertainment,https://www.epicgames.com/store/en-US/product/detroit-become-human/home,N/A
Genesis Alpha One,Radiation Blue,Team17 Digital Ltd,https://epicgames.com/store/en-US/product/genesis-alpha-one/home,https://store.steampowered.com/app/712190/Genesis_Alpha_One/
Hades,Supergiant Games,Supergiant Games,https://epicgames.com/store/en-US/product/hades/home,N/A
Heavy Rain,Quantic Dream,Sony Computer Entertainment,https://www.epicgames.com/store/en-US/product/heavy-rain/home,N/A
Hello Neighbor: Hide and Seek,Dynamic Pixels,tinyBuild,https://epicgames.com/store/en-US/product/hello-neighbor-hide-and-seek/home,N/A
Journey,thatgamecompany,Annapurna Interactive,https://epicgames.com/store/en-US/product/journey/home,N/A
Kine,Gwen Frey,Gwen Frey,https://www.epicgames.com/store/en-US/product/kine/home,https://store.steampowered.com/app/824570/Kine/
Maneater,Blindside Interactive,Tripwire Interactive,https://epicgames.com/store/en-US/product/maneater/home,https://store.steampowered.com/app/629820/Maneater/
Metro Exodus,4A Games,Deep Silver,https://www.epicgames.com/store/en-US/product/metro-exodus/home,https://store.steampowered.com/app/412020/Metro_Exodus/
Observation,No Code,Devolver Digital,https://www.epicgames.com/store/en-US/product/observation/home,N/A
Operencia: The Stolen Sun,Zen Studios,Zen Studios,https://www.epicgames.com/store/en-US/product/operencia/home,https://store.steampowered.com/app/985950/Operencia_The_Stolen_Sun/
The Outer Worlds,Obsidian Entertainment,Private Division,https://www.epicgames.com/store/en-US/product/the-outer-worlds/home,https://store.steampowered.com/app/578650/The_Outer_Worlds/
Phoenix Point,Snapshot Games,Snapshot Games,https://www.epicgames.com/store/en-US/product/phoenix-point/home,N/A
RollerCoaster Tycoon Adventures,Nvizzio Creations,Atari,https://www.epicgames.com/store/en-US/product/rollercoaster-tycoon-adventures/home,N/A
The Walking Dead: The Final Season,Telltale Games,Skybound Games,https://www.epicgames.com/store/en-US/product/walking-dead-final-season/home,https://store.steampowered.com/app/866800/The_Walking_Dead_The_Final_Season/
Rebel Galaxy Outlaw,Double Damage Games,Double Damage Games,https://epicgames.com/store/en-US/product/rebel-galaxy-outlaw/home,N/A
Satisfactory,Coffee Stain Studios,Coffee Stain Publishing,https://epicgames.com/store/en-US/product/satisfactory/home,N/A
Shakedown: Hawaii,"Vblank Entertainment, Inc.","Vblank Entertainment, Inc.",https://www.epicgames.com/store/en-US/product/shakedown-hawaii/home,https://store.steampowered.com/app/598730/Shakedown_Hawaii/
The Sinking City,Frogwares,Bigben Interactive,https://www.epicgames.com/store/en-US/product/the-sinking-city/home,https://store.steampowered.com/app/750130/The_Sinking_City/
Spellbreak,Proletariat Inc.,Proletariat Inc.,https://www.epicgames.com/store/en-US/product/spellbreak/home,N/A
Super Meat Boy Forever,Team Meat,Team Meat,https://epicgames.com/store/en-US/product/super-meat-boy-forever/home,https://store.steampowered.com/app/581660/Super_Meat_Boy_Forever/
World War Z,Saber Interactive,Focus Home Interactive,https://epicgames.com/store/en-US/product/world-war-z/home,N/A
